2021-12-12 11:12:505 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 11:12:341 INFO  StartPage :25 - clicking on start now buttonProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Start now']'
2021-12-12 12:12:881 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 12:12:234 INFO  StartPage :25 - clicking on start now buttonProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Start now']'
2021-12-12 12:12:397 INFO  SelectNationalityPage :29 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //select[@id='response']]
2021-12-12 12:12:512 INFO  SelectNationalityPage :38 - selecting continue : [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 12:12:620 INFO  ReasonForTravelPage :38 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (4a14254333f64018723ee5be8591d4a4)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 12:12:957 INFO  SelectNationalityPage :38 - selecting continue : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']'
2021-12-12 12:12:546 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 12:12:212 INFO  StartPage :25 - clicking on start now buttonProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Start now']'
2021-12-12 12:12:388 INFO  SelectNationalityPage :29 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (046c5f123a1673fdd7cf266af4b4f250)] -> xpath: //select[@id='response']]
